seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
S8C7753||full	0.987	0.353	0.010	0.000	0.340	0.987	dsDNAphage	40649	5	22.400	2.000
S8C19745||full	1.000	0.873	0.120	0.973	0.513	1.000	dsDNAphage	4431	5	100.000	0.000
S8C26905||full	0.993	0.327	0.455	0.947	0.960	0.993	dsDNAphage	4617	2	50.000	0.000
S9C12652||full	1.000	0.173	0.130	0.633	0.600	1.000	dsDNAphage	5556	3	75.000	0.000
S9C13469||full	1.000	0.593	0.045	0.320	0.773	1.000	dsDNAphage	97299	17	72.600	0.000
S9C15543||full	0.787	0.707	0.360	0.920	0.920	0.920	ssDNA	2143	0	50.000	0.000
S9C16888||full	0.993	0.787	0.200	0.960	0.473	0.993	dsDNAphage	4348	2	80.000	0.000
S9C18785||full	1.000	0.580	0.050	0.380	0.780	1.000	dsDNAphage	96996	13	73.700	0.000
S9C19234||0_partial	0.820	0.147	0.550	0.993	0.327	0.993	ssDNA	1829	1	20.000	20.000
S0C27329||full	1.000	0.647	0.045	0.300	0.600	1.000	dsDNAphage	96986	25	65.800	0.000
S1C9103||full	1.000	0.373	0.110	0.713	0.460	1.000	dsDNAphage	5138	5	83.300	0.000
S1C12564||full	1.000	0.933	0.115	0.493	0.907	1.000	dsDNAphage	97282	2	72.100	0.000
S2C257||full	0.960	0.293	0.000	0.040	0.100	0.960	dsDNAphage	3962	1	22.200	11.100
S2C685||full	0.993	0.213	0.285	0.467	0.533	0.993	dsDNAphage	6649	1	66.700	0.000
S2C795||full	0.913	0.780	0.625	0.893	0.947	0.947	lavidaviridae	2803	0	14.300	0.000
S2C1165||full	0.933	0.553	0.510	0.913	0.667	0.933	dsDNAphage	2463	0	50.000	0.000
S2C1404||full	0.940	0.753	0.170	0.980	0.993	0.993	lavidaviridae	2534	0	100.000	0.000
S2C1612||full	0.720	0.613	0.345	0.733	0.833	0.833	lavidaviridae	2687	0	100.000	0.000
S2C1651||full	0.867	0.920	0.130	0.747	0.993	0.993	lavidaviridae	6027	0	100.000	0.000
S2C1846||full	0.953	0.360	0.225	0.520	0.933	0.953	dsDNAphage	14709	0	100.000	0.000
S2C1949||full	0.013	0.580	0.105	0.000	0.067	0.580	NCLDV	2154	0	0.000	0.000
S2C1963||full	0.220	0.560	0.020	0.013	0.067	0.560	NCLDV	2222	0	25.000	25.000
S2C2126||full	1.000	0.447	0.010	0.067	0.560	1.000	dsDNAphage	52672	9	62.800	3.800
S2C2325||full	0.927	0.987	0.150	0.847	0.920	0.987	NCLDV	3574	0	100.000	0.000
S2C2441||full	0.993	0.600	0.085	0.247	0.273	0.993	dsDNAphage	8621	2	90.900	0.000
S2C3134||full	0.967	0.273	0.660	0.887	0.300	0.967	dsDNAphage	2010	1	33.300	0.000
S2C3179||full	0.993	0.673	0.030	0.087	0.713	0.993	dsDNAphage	26216	2	38.200	2.900
S2C3414||full	0.053	0.633	0.680	0.373	0.553	0.680	RNA	2363	0	0.000	0.000
S2C3430||full	0.680	0.840	0.255	0.880	0.947	0.947	lavidaviridae	2064	0	50.000	0.000
S2C3585||full	0.953	0.653	0.095	0.400	0.827	0.953	dsDNAphage	13490	0	92.900	0.000
S2C3846||full	0.927	0.887	0.250	0.900	0.973	0.973	lavidaviridae	3647	0	66.700	0.000
S2C4042||full	1.000	0.487	0.250	0.247	0.860	1.000	dsDNAphage	37898	5	41.800	0.000
S2C4123||full	1.000	0.967	0.205	0.500	0.907	1.000	dsDNAphage	18314	2	100.000	0.000
S2C4193||full	0.847	0.953	0.060	0.560	0.760	0.953	NCLDV	10805	0	81.000	0.000
S2C4211||full	0.940	0.560	0.265	0.667	0.900	0.940	dsDNAphage	6241	0	100.000	0.000
S2C4543||full	0.900	0.753	0.230	0.940	0.973	0.973	lavidaviridae	2383	0	60.000	0.000
S2C4917||full	0.940	0.727	0.260	0.793	0.307	0.940	dsDNAphage	2174	1	40.000	0.000
S2C4966||full	0.973	0.900	0.280	0.900	0.953	0.973	dsDNAphage	3038	2	40.000	0.000
S2C4980||full	1.000	0.400	0.210	0.847	0.347	1.000	dsDNAphage	2694	2	100.000	0.000
S2C5035||full	0.987	0.687	0.225	0.767	0.833	0.987	dsDNAphage	2163	2	66.700	0.000
S2C5080||full	0.887	0.467	0.020	0.160	0.013	0.887	dsDNAphage	4261	0	63.600	9.100
S2C5351||full	0.987	0.507	0.260	0.980	0.807	0.987	dsDNAphage	3595	3	60.000	0.000
S2C5421||full	0.987	0.253	0.255	0.507	0.680	0.987	dsDNAphage	6204	1	57.100	0.000
S2C5603||full	0.640	0.587	0.775	0.873	0.560	0.873	ssDNA	2829	1	25.000	0.000
S2C5690||full	0.987	0.720	0.385	0.987	0.287	0.987	dsDNAphage	2195	2	50.000	0.000
S2C5784||full	0.953	0.907	0.270	0.800	0.993	0.993	lavidaviridae	6677	0	100.000	0.000
S2C5828||full	0.560	0.960	0.340	0.100	0.713	0.960	NCLDV	3942	0	14.300	0.000
S2C5872||full	0.893	0.740	0.190	0.313	0.893	0.893	dsDNAphage	19148	0	94.400	0.000
S2C5930||full	0.840	0.993	0.170	0.973	0.700	0.993	NCLDV	2727	0	100.000	0.000
S2C6061||full	0.827	0.560	0.350	0.987	1.000	1.000	lavidaviridae	3188	0	66.700	0.000
S2C6767||full	0.093	0.553	0.005	0.013	0.113	0.553	NCLDV	2658	0	25.000	25.000
S2C7026||full	0.847	0.833	0.215	0.740	1.000	1.000	lavidaviridae	2295	0	100.000	0.000
S2C7041||full	0.947	0.700	0.130	0.480	0.747	0.947	dsDNAphage	4470	0	83.300	0.000
S2C7586||full	0.253	0.573	0.100	0.680	0.767	0.767	lavidaviridae	1960	0	25.000	0.000
S2C7622||full	0.913	0.980	0.195	0.960	0.993	0.993	lavidaviridae	2353	0	100.000	0.000
S2C8388||full	1.000	1.000	0.150	1.000	0.933	1.000	dsDNAphage	2835	2	100.000	0.000
S2C8518||full	0.953	0.280	0.395	1.000	0.713	1.000	ssDNA	2257	0	60.000	0.000
S2C8753||full	0.607	0.453	0.330	0.033	0.587	0.607	dsDNAphage	2190	0	20.000	0.000
S2C9292||full	0.907	0.753	0.240	0.907	0.820	0.907	dsDNAphage	4227	0	83.300	0.000
S2C9541||full	1.000	0.573	0.180	0.980	0.927	1.000	dsDNAphage	2216	2	75.000	0.000
S2C9581||full	0.960	0.840	0.210	0.893	0.940	0.960	dsDNAphage	2690	0	100.000	0.000
S2C9834||full	1.000	0.440	0.210	0.587	0.927	1.000	dsDNAphage	9045	3	77.800	0.000
S2C9905||full	0.920	0.427	0.200	0.713	0.687	0.920	dsDNAphage	6540	0	100.000	0.000
S2C9906||full	1.000	0.313	0.205	0.907	0.467	1.000	dsDNAphage	3193	1	100.000	0.000
S2C10434||full	0.887	0.720	0.310	0.987	0.960	0.987	ssDNA	2668	0	60.000	0.000
S2C10525||full	0.873	0.893	0.235	0.820	0.987	0.987	lavidaviridae	4013	0	100.000	0.000
S2C10531||full	1.000	0.700	0.130	0.947	0.240	1.000	dsDNAphage	3181	3	100.000	0.000
S2C10653||full	0.960	0.987	0.115	0.987	0.993	0.993	lavidaviridae	2846	0	75.000	0.000
S2C11038||full	0.947	0.920	0.180	0.493	0.927	0.947	dsDNAphage	19003	0	100.000	0.000
S2C11202||full	0.967	0.647	0.465	1.000	0.973	1.000	ssDNA	2244	0	66.700	0.000
S2C11397||full	0.993	0.507	0.210	0.927	0.240	0.993	dsDNAphage	4159	1	100.000	0.000
S2C11479||full	0.987	0.140	0.235	0.993	0.927	0.993	ssDNA	2414	0	60.000	0.000
S2C11523||full	0.980	0.760	0.055	0.493	0.707	0.980	dsDNAphage	3823	0	90.000	0.000
S2C11711||full	0.927	0.907	0.360	0.727	0.693	0.927	dsDNAphage	3536	0	62.500	0.000
S2C11862||full	0.880	1.000	0.130	0.807	0.993	1.000	NCLDV	3974	0	80.000	0.000
S2C12409||full	0.993	0.987	0.085	0.193	0.220	0.993	dsDNAphage	3584	1	57.100	0.000
S2C12743||full	0.973	0.947	0.300	0.953	0.820	0.973	dsDNAphage	2659	0	50.000	0.000
S2C13193||full	0.993	0.607	0.145	0.493	0.740	0.993	dsDNAphage	5145	0	92.300	0.000
S2C13335||full	0.967	0.880	0.175	0.813	0.947	0.967	dsDNAphage	4542	0	100.000	0.000
S2C13396||full	0.900	0.953	0.235	0.547	0.933	0.953	NCLDV	10974	0	100.000	0.000
S2C13566||full	0.980	0.620	0.445	0.687	0.853	0.980	dsDNAphage	6037	1	44.400	0.000
S2C13753||full	0.993	0.467	0.140	0.493	0.847	0.993	dsDNAphage	24367	9	85.400	0.000
S2C13882||full	0.893	0.673	0.105	0.187	0.193	0.893	dsDNAphage	6280	0	50.000	0.000
S2C13887||full	0.993	0.347	0.230	0.833	0.567	0.993	dsDNAphage	2951	3	100.000	0.000
S2C14174||full	0.900	0.500	0.625	0.947	0.567	0.947	ssDNA	2625	0	20.000	0.000
S2C14192||full	0.993	0.940	0.315	0.760	0.993	0.993	dsDNAphage	10025	1	54.500	0.000
S2C14385||full	0.980	0.860	0.345	0.900	0.907	0.980	dsDNAphage	9064	1	63.600	0.000
S2C14405||full	1.000	0.420	0.260	0.660	0.680	1.000	dsDNAphage	4181	1	60.000	0.000
S2C14434||full	0.953	0.420	0.200	0.860	0.873	0.953	dsDNAphage	2828	0	75.000	0.000
S2C14640||full	0.853	0.960	0.330	0.867	0.987	0.987	lavidaviridae	1875	0	75.000	0.000
S2C14658||full	0.707	0.227	0.400	0.560	0.613	0.707	dsDNAphage	2574	0	16.700	0.000
S2C14702||full	0.980	0.693	0.180	0.447	0.933	0.980	dsDNAphage	15546	0	94.400	0.000
S2C15273||full	1.000	0.560	0.005	0.127	0.567	1.000	dsDNAphage	168674	5	74.300	2.200
S2C15305||full	1.000	0.813	0.280	1.000	0.260	1.000	dsDNAphage	2079	1	100.000	0.000
S2C15471||full	1.000	0.673	0.000	0.073	0.060	1.000	dsDNAphage	45094	8	72.600	1.600
S2C15893||0_partial	0.760	0.000	0.000	0.000	0.000	0.760	dsDNAphage	41003	1	13.100	36.100
S2C15955||full	0.773	0.333	0.220	0.647	0.320	0.773	dsDNAphage	2943	0	100.000	0.000
S2C16255||full	0.980	0.907	0.155	0.367	0.913	0.980	dsDNAphage	74028	0	65.700	0.000
S2C16390||full	0.920	0.867	0.135	0.840	0.947	0.947	lavidaviridae	2775	0	83.300	0.000
S2C16650||full	0.060	0.600	0.100	0.000	0.107	0.600	NCLDV	2916	0	0.000	0.000
S2C16889||full	0.893	0.213	0.420	0.993	0.960	0.993	ssDNA	2803	0	50.000	0.000
S2C16944||full	0.880	0.773	0.125	0.520	0.853	0.880	dsDNAphage	3677	0	75.000	0.000
S2C17058||full	0.400	0.167	0.840	0.000	0.253	0.840	RNA	2034	0	0.000	0.000
S2C17155||full	1.000	0.940	0.095	0.353	0.887	1.000	dsDNAphage	28816	2	87.800	0.000
S2C17168||full	0.820	0.707	0.185	0.893	0.793	0.893	ssDNA	3346	0	100.000	0.000
S2C17361||full	0.907	0.380	0.145	0.880	0.600	0.907	dsDNAphage	3548	0	60.000	0.000
S2C17556||full	0.727	0.713	0.115	0.867	0.927	0.927	lavidaviridae	2816	0	75.000	0.000
S2C17703||full	0.940	1.000	0.060	0.753	0.947	1.000	NCLDV	7686	0	85.700	0.000
S2C17878||full	0.947	0.327	0.050	0.733	0.220	0.947	dsDNAphage	4925	0	66.700	0.000
S2C17924||full	1.000	0.867	0.150	0.920	0.633	1.000	dsDNAphage	4526	2	70.000	0.000
S2C17927||full	1.000	0.853	0.150	1.000	0.900	1.000	dsDNAphage	2524	1	100.000	0.000
S2C18104||full	0.893	0.747	0.025	0.187	0.167	0.893	dsDNAphage	8922	0	53.300	0.000
S2C18116||full	0.913	0.693	0.105	0.980	0.320	0.980	ssDNA	2234	0	100.000	0.000
S2C18196||full	0.967	0.620	0.195	0.887	0.293	0.967	dsDNAphage	2240	1	100.000	0.000
S2C18271||full	1.000	0.127	0.085	0.147	0.213	1.000	dsDNAphage	19864	5	79.200	0.000
S2C18463||full	0.953	0.540	0.300	0.973	0.660	0.973	ssDNA	4927	0	100.000	0.000
S2C18515||full	0.780	0.533	0.440	0.780	0.733	0.780	dsDNAphage	6414	0	54.500	0.000
S2C18591||full	1.000	0.613	0.050	0.360	0.760	1.000	dsDNAphage	96431	15	72.200	0.000
S2C19088||full	0.367	0.893	0.265	0.513	0.980	0.980	lavidaviridae	5735	0	33.300	0.000
S2C19294||full	0.993	0.700	0.030	0.140	0.840	0.993	dsDNAphage	29981	7	48.900	4.400
S2C19343||full	0.967	0.400	0.290	0.980	0.467	0.980	ssDNA	2562	0	50.000	0.000
S2C19352||full	0.907	0.980	0.115	0.947	0.880	0.980	NCLDV	658	0	100.000	0.000
S2C19521||full	0.993	0.680	0.085	0.500	0.687	0.993	dsDNAphage	9467	6	68.400	0.000
S2C19536||full	0.900	0.520	0.225	0.867	0.800	0.900	dsDNAphage	2050	0	100.000	0.000
S2C19844||full	0.313	0.860	0.765	0.820	0.920	0.920	lavidaviridae	2102	0	50.000	0.000
S2C20086||full	0.667	0.933	0.185	0.940	0.953	0.953	lavidaviridae	2444	0	75.000	0.000
S2C20224||full	0.980	0.567	0.170	0.993	0.447	0.993	ssDNA	2775	0	60.000	0.000
S2C20662||full	0.973	0.467	0.080	0.913	0.907	0.973	dsDNAphage	3631	0	75.000	0.000
S2C20992||full	0.833	0.613	0.185	0.980	0.900	0.980	ssDNA	2237	0	75.000	0.000
S2C21081||full	0.900	1.000	0.170	0.600	0.800	1.000	NCLDV	5816	0	83.300	0.000
S2C21562||full	0.993	0.860	0.160	0.767	0.780	0.993	dsDNAphage	9654	1	85.700	0.000
S2C21665||full	1.000	0.767	0.010	0.147	0.740	1.000	dsDNAphage	67852	4	50.500	2.200
S2C21912||full	1.000	0.993	0.200	0.993	0.987	1.000	dsDNAphage	4148	1	100.000	0.000
S2C22229||full	1.000	0.400	0.255	0.933	0.193	1.000	dsDNAphage	4444	4	44.400	0.000
S2C22230||full	0.547	0.900	0.070	0.100	0.653	0.900	NCLDV	2277	0	40.000	0.000
S2C22320||full	0.767	0.287	0.185	0.387	0.400	0.767	dsDNAphage	3919	0	22.200	0.000
S2C22619||full	0.980	0.253	0.345	0.907	0.733	0.980	dsDNAphage	6225	0	69.200	0.000
S2C22844||full	1.000	0.560	0.175	0.860	0.887	1.000	dsDNAphage	3862	0	90.000	0.000
S2C22940||full	0.980	0.993	0.140	0.820	0.920	0.993	NCLDV	3537	0	77.800	0.000
S2C22995||full	0.993	0.773	0.125	0.813	0.740	0.993	dsDNAphage	6549	4	100.000	0.000
S2C23198||full	1.000	0.340	0.475	0.927	0.600	1.000	dsDNAphage	2667	2	100.000	0.000
S2C23233||full	0.533	0.780	0.465	0.093	0.373	0.780	NCLDV	2915	0	20.000	0.000
S2C23425||full	0.993	0.920	0.190	0.500	0.953	0.993	dsDNAphage	23973	1	100.000	0.000
S2C23611||full	0.707	0.980	0.115	0.540	0.960	0.980	NCLDV	2886	0	14.300	0.000
S2C23677||full	0.820	0.360	0.335	0.640	0.613	0.820	dsDNAphage	2682	0	22.200	0.000
S2C23720||full	1.000	0.960	0.215	0.673	0.947	1.000	dsDNAphage	9354	2	100.000	0.000
S2C23903||full	1.000	0.100	0.020	0.040	0.040	1.000	dsDNAphage	4088	2	62.500	12.500
S2C24019||full	0.867	0.827	0.350	0.880	0.747	0.880	ssDNA	2810	0	80.000	0.000
S2C24036||full	1.000	0.527	0.075	0.520	0.733	1.000	dsDNAphage	35436	12	58.500	0.000
S2C24098||full	0.660	0.827	0.600	0.900	0.967	0.967	lavidaviridae	3422	0	33.300	0.000
S2C24251||full	0.993	0.573	0.030	0.027	0.507	0.993	dsDNAphage	27383	5	26.900	3.800
S2C24271||full	0.887	0.813	0.075	0.727	0.940	0.940	lavidaviridae	10282	0	100.000	0.000
S2C24285||full	1.000	0.827	0.150	0.373	0.893	1.000	dsDNAphage	71676	2	96.400	0.000
S2C24480||full	1.000	0.140	0.110	0.560	0.320	1.000	dsDNAphage	13635	6	73.700	0.000
S2C24853||full	0.787	0.787	0.325	0.820	0.913	0.913	lavidaviridae	6483	0	100.000	0.000
S2C25232||full	0.993	0.167	0.115	0.627	0.193	0.993	dsDNAphage	6239	3	100.000	0.000
S2C25599||full	1.000	0.140	0.125	0.480	0.300	1.000	dsDNAphage	9277	4	100.000	0.000
S2C25735||full	1.000	0.700	0.130	0.740	0.260	1.000	dsDNAphage	3613	1	100.000	0.000
S2C25751||full	0.973	0.893	0.205	0.853	0.227	0.973	dsDNAphage	2321	0	37.500	0.000
S2C25907||full	0.993	0.207	0.265	1.000	0.200	1.000	ssDNA	2960	0	83.300	0.000
S2C25982||full	1.000	0.487	0.320	1.000	0.307	1.000	dsDNAphage	2494	1	100.000	0.000
S2C26536||full	0.900	1.000	0.165	0.827	0.993	1.000	NCLDV	2102	0	75.000	0.000
S2C26662||full	0.420	0.687	0.225	0.120	0.800	0.800	lavidaviridae	6508	0	15.400	0.000
S2C26836||full	0.860	0.767	0.135	0.740	0.640	0.860	dsDNAphage	4015	0	62.500	0.000
S2C26905||full	0.987	0.153	0.000	0.000	0.000	0.987	dsDNAphage	131678	2	45.300	5.800
S2C27375||full	0.987	0.713	0.090	0.340	0.867	0.987	dsDNAphage	34989	0	91.100	0.000
S2C27587||full	0.373	0.747	0.440	0.560	0.733	0.747	NCLDV	3981	0	66.700	0.000
S2C28110||full	0.493	0.567	0.400	0.727	0.593	0.727	ssDNA	2088	0	25.000	0.000
S2C28312||full	0.973	0.653	0.155	0.413	0.813	0.973	dsDNAphage	54770	0	95.300	0.000
S2C28385||full	1.000	0.933	0.065	0.987	0.313	1.000	dsDNAphage	4026	1	75.000	0.000
S2C28518||full	0.980	0.467	0.230	0.927	0.933	0.980	dsDNAphage	3253	0	90.000	0.000
S2C28695||full	1.000	0.240	0.130	0.387	0.880	1.000	dsDNAphage	15365	4	63.200	0.000
S2C28800||full	1.000	0.333	0.250	0.940	0.360	1.000	dsDNAphage	4850	3	100.000	0.000
S2C29121||full	0.973	0.567	0.220	0.740	0.880	0.973	dsDNAphage	6385	0	100.000	0.000
S2C29398||full	0.973	0.307	0.400	0.907	0.767	0.973	dsDNAphage	1854	1	75.000	0.000
S2C30097||full	0.853	0.913	0.215	0.860	1.000	1.000	lavidaviridae	2120	0	100.000	0.000
S2C30335||full	0.667	0.760	0.355	0.480	0.827	0.827	lavidaviridae	4499	0	50.000	0.000
S2C30447||full	0.980	0.693	0.205	0.460	0.667	0.980	dsDNAphage	6764	3	68.800	0.000
S2C30453||full	0.573	0.307	0.775	0.773	0.673	0.775	RNA	2974	0	0.000	0.000
S2C30482||full	0.027	0.980	0.285	0.033	0.067	0.980	NCLDV	1979	0	0.000	0.000
S2C30637||full	0.393	0.620	0.400	0.060	0.653	0.653	lavidaviridae	2671	0	33.300	0.000
S2C30679||full	0.827	0.987	0.205	0.953	1.000	1.000	lavidaviridae	2350	0	100.000	0.000
S2C30949||full	0.980	0.347	0.395	0.980	0.953	0.980	dsDNAphage	3922	1	80.000	0.000
S2C31318||full	0.807	0.680	0.120	0.700	0.900	0.900	lavidaviridae	2841	0	100.000	0.000
S2C31805||full	0.847	0.993	0.200	0.933	1.000	1.000	lavidaviridae	2241	0	75.000	0.000
S2C32005||full	0.720	0.787	0.205	0.833	0.767	0.833	ssDNA	3387	0	57.100	0.000
S2C32333||full	0.993	0.800	0.025	0.787	0.193	0.993	dsDNAphage	3724	0	62.500	0.000
S2C32437||full	0.893	0.393	0.160	0.713	0.647	0.893	dsDNAphage	5037	0	100.000	0.000
S2C32832||full	1.000	0.153	0.095	0.400	0.347	1.000	dsDNAphage	11716	0	77.800	0.000
S2C33389||full	1.000	0.287	0.140	0.953	0.307	1.000	dsDNAphage	2585	1	100.000	0.000
S2C33566||full	0.767	0.500	0.170	0.127	0.093	0.767	dsDNAphage	4139	0	37.500	0.000
S2C33602||full	0.907	0.900	0.210	0.973	1.000	1.000	lavidaviridae	4028	0	37.500	0.000
S2C33703||full	0.987	0.593	0.095	0.760	0.780	0.987	dsDNAphage	4881	2	75.000	0.000
S2C33716||full	0.573	0.987	0.415	0.593	0.707	0.987	NCLDV	2353	0	33.300	0.000
S2C33874||full	1.000	0.467	0.440	0.800	0.407	1.000	dsDNAphage	3351	4	100.000	0.000
S2C34098||full	0.540	0.420	0.640	0.500	0.567	0.640	RNA	3105	0	0.000	0.000
S2C34426||full	1.000	0.900	0.070	0.293	0.247	1.000	dsDNAphage	16790	4	56.500	0.000
S2C34439||full	0.587	0.927	0.290	0.753	0.893	0.927	NCLDV	3683	0	66.700	0.000
S2C34993||full	0.987	NaN	0.120	0.840	0.313	0.987	dsDNAphage	1998	0	40.000	0.000
S2C35172||full	0.947	0.953	0.275	0.927	0.980	0.980	lavidaviridae	2473	0	50.000	0.000
S2C35891||full	0.840	1.000	0.145	0.927	0.953	1.000	NCLDV	2801	0	100.000	0.000
S2C36518||full	0.927	0.747	0.190	0.773	0.960	0.960	lavidaviridae	2236	0	100.000	0.000
S2C36618||full	0.947	0.620	0.150	0.993	0.240	0.993	ssDNA	2542	0	80.000	0.000
S2C36732||full	1.000	0.900	0.065	0.300	0.887	1.000	dsDNAphage	27572	2	89.700	0.000
S2C36785||full	1.000	0.213	0.125	0.527	0.340	1.000	dsDNAphage	8237	1	91.700	0.000
S2C36873||full	0.773	0.360	0.390	0.993	0.793	0.993	ssDNA	4615	0	66.700	0.000
S2C36895||full	0.887	0.947	0.305	0.920	0.873	0.947	NCLDV	2501	0	20.000	0.000
S2C37129||full	0.860	0.753	0.530	0.947	1.000	1.000	lavidaviridae	2421	0	40.000	0.000
S2C37255||full	0.920	0.713	0.240	0.520	0.907	0.920	dsDNAphage	7716	0	100.000	0.000
S2C37606||full	0.980	0.720	0.190	0.780	0.847	0.980	dsDNAphage	5611	0	85.700	0.000
S2C37722||full	0.993	0.387	0.190	0.633	0.580	0.993	dsDNAphage	4074	2	66.700	0.000
