name	prediction	score
S2C13087	Phage	0.95
S2C13193	Phage	0.92
S2C13331	Bacteria	0.14
S2C13335	Phage	0.93
S2C13350	Phage	0.79
S2C13396	Phage	0.95
S2C13501	Phage	0.98
S2C13566	Phage	0.97
S2C13753	Phage	0.95
S2C13882	Phage	0.68
S2C13887	Phage	0.78
S2C14174	Phage	0.88
S2C14192	Bacteria	0.45
S2C14385	Phage	0.96
S2C14405	Bacteria	0.35
S2C14434	Phage	0.98
S2C14615	Bacteria	0.45
S2C14640	Phage	0.98
S2C14658	Phage	0.95
S2C14702	Phage	0.93
S2C14724	Phage	0.92
S2C14836	Phage	0.52
S2C15273	Phage	0.87
S2C15292	Phage	0.67
S2C15305	Phage	0.68
S2C15471	Phage	0.9
S2C15523	Phage	0.87
S2C15658	Phage	0.94
S2C15728	Phage	0.9
S2C15893	Bacteria	0.4
S2C15955	Bacteria	0.05
S2C15982	Bacteria	0.31
S2C16255	Phage	0.84
S2C16390	Phage	0.91
S2C16430	Phage	0.57
S2C16650	Bacteria	0.47
S2C16889	Phage	0.91
S2C16944	Phage	0.79
S2C17058	Bacteria	0.47
S2C17155	Phage	0.93
S2C17168	Phage	0.97
S2C17361	Phage	0.77
S2C17487	Phage	0.95
S2C17556	Phage	0.95
S2C17703	Phage	0.95
S2C17878	Phage	0.67
S2C17910	Phage	0.61
S2C17924	Phage	0.9
S2C17927	Phage	0.92
S2C18104	Bacteria	0.25
S2C18116	Phage	0.85
S2C18196	Phage	0.88
S2C18271	Bacteria	0.29
S2C18463	Phage	0.88
S2C18515	Phage	0.97
S2C18591	Phage	0.95
S2C19088	Phage	0.61
S2C19294	Bacteria	0.3
S2C19343	Phage	0.54
S2C19352	Phage	0.93
S2C19521	Phage	0.98
S2C19536	Phage	0.93
S2C19802	Bacteria	0.26
S2C19844	Phage	0.76
S2C20086	Phage	0.87
S2C20224	Phage	0.87
S2C20574	Bacteria	0.32
S2C20578	Phage	0.83
S2C20662	Phage	0.95
S2C20678	Bacteria	0.47
S2C20680	Phage	0.55
S2C20823	Phage	0.89
S2C20917	Bacteria	0.39
S2C20992	Phage	0.81
S2C21043	Phage	0.92
S2C21081	Phage	0.97
S2C21142	Phage	0.54
S2C21562	Phage	0.93
S2C21665	Phage	0.88
S2C21845	Phage	0.78
S2C21864	Phage	0.94
S2C21875	Bacteria	0.39
S2C21912	Phage	0.98
S2C22229	Phage	0.62
S2C22230	Phage	0.85
S2C22320	Phage	0.98
S2C22619	Bacteria	0.34
S2C22636	Phage	0.93
S2C22844	Phage	0.94
S2C22940	Phage	0.95
S2C22995	Phage	0.96
S2C23049	Phage	0.8
S2C23198	Bacteria	0.12
S2C23233	Phage	0.96
S2C23425	Phage	0.94
S2C23611	Phage	0.82
S2C23624	Bacteria	0.06
S2C23677	Phage	0.76
S2C23704	Phage	0.67
S2C23720	Phage	0.93
S2C23880	Bacteria	0.46
S2C23903	Bacteria	0.46
S2C24019	Phage	0.93
S2C24036	Phage	0.96
S2C24098	Bacteria	0.34
S2C24251	Phage	0.51
S2C24271	Phage	0.94
S2C24285	Phage	0.93
S2C24480	Phage	0.79
S2C24502	Bacteria	0.41
S2C24713	Bacteria	0.45
S2C24723	Phage	0.96
S2C24853	Phage	0.96
S2C24941	Phage	0.98
S2C25232	Bacteria	0.37
S2C25599	Bacteria	0.18
S2C25735	Phage	0.84
S2C25751	Phage	0.76
S2C25907	Bacteria	0.38
S2C25982	Phage	0.83
S2C26536	Phage	0.84
S2C26662	Phage	0.61
S2C26836	Phage	0.92
S2C26905	Bacteria	0.45
S2C27375	Phage	0.94
S2C27587	Phage	0.98
S2C28110	Phage	0.98
S2C28159	Phage	0.63
S2C28312	Phage	0.94
S2C28385	Phage	0.75
S2C28390	Phage	0.95
S2C28518	Phage	0.97
S2C28695	Phage	0.66
S2C28800	Bacteria	0.15
S2C29034	Bacteria	0.15
S2C29121	Phage	0.96
S2C29398	Phage	0.74
S2C30097	Phage	0.88
S2C30335	Phage	0.89
S2C30446	Bacteria	0.41
S2C30447	Phage	0.95
S2C30453	Phage	0.91
S2C30482	Phage	0.65
S2C30637	Bacteria	0.34
S2C30679	Phage	0.91
S2C30736	Bacteria	0.46
S2C30852	Phage	0.55
S2C30949	Bacteria	0.31
S2C31182	Bacteria	0.4
S2C31318	Phage	0.95
S2C31387	Phage	0.96
S2C31607	Phage	0.7
S2C31710	Phage	0.95
S2C31805	Phage	0.94
S2C31807	Bacteria	0.33
S2C32005	Phage	0.89
S2C32054	Bacteria	0.07
S2C32333	Bacteria	0.3
S2C32437	Phage	0.94
S2C32510	Bacteria	0.39
S2C32557	Bacteria	0.11
S2C32560	Bacteria	0.34
S2C32754	Phage	0.97
S2C32832	Bacteria	0.42
S2C33177	Phage	0.8
S2C33389	Bacteria	0.15
S2C33566	Bacteria	0.41
S2C33602	Bacteria	0.44
S2C33703	Bacteria	0.44
S2C33716	Phage	0.87
S2C33874	Bacteria	0.48
S2C34098	Bacteria	0.28
S2C34426	Phage	0.76
S2C34439	Phage	0.94
S2C34993	Bacteria	0.24
S2C35095	Bacteria	0.18
S2C35172	Phage	0.93
S2C35358	Phage	0.75
S2C35846	Phage	0.82
S2C35873	Phage	0.57
S2C35891	Phage	0.84
S2C36378	Bacteria	0.35
S2C36486	Phage	0.57
S2C36518	Phage	0.9
S2C36618	Phage	0.82
S2C36732	Phage	0.95
S2C36785	Bacteria	0.3
S2C36835	Bacteria	0.27
S2C36873	Phage	0.88
S2C36895	Phage	0.96
S2C37129	Phage	0.95
S2C37255	Phage	0.91
S2C37397	Phage	0.54
S2C37426	Bacteria	0.36
S2C37606	Bacteria	0.28
S2C37722	Phage	0.97
S2C37895	Bacteria	0.14
S2C38056	Phage	0.75
S2C38087	Bacteria	0.49
S2C38140	Phage	0.93
S2C38239	Phage	0.86
S2C38401	Phage	0.64
S2C38445	Phage	0.93
S2C38571	Phage	0.6
S2C38590	Phage	0.67
S2C38649	Phage	0.98
S2C38659	Phage	0.51
S2C38678	Phage	0.79
S2C38822	Phage	0.97
S2C38860	Bacteria	0.35
S2C38866	Bacteria	0.47
S2C38920	Phage	0.97
S2C39065	Phage	0.55
S2C39317	Bacteria	0.21
S2C39419	Bacteria	0.34
S2C39644	Phage	0.98
S2C39700	Bacteria	0.27
S2C39730	Phage	0.63
S2C39868	Phage	0.89
S2C40003	Bacteria	0.37
S2C40188	Phage	0.98
S2C40257	Phage	0.59
S2C40535	Phage	0.93
S2C40590	Bacteria	0.25
S2C40714	Phage	0.93
S2C40911	Phage	0.93
S2C40979	Phage	0.96
S2C41047	Phage	0.92
S2C41268	Bacteria	0.33
S2C41295	Phage	0.7
S2C41380	Phage	0.94
S2C41583	Bacteria	0.19
S2C41803	Phage	0.9
S2C41808	Phage	0.92
S2C41830	Phage	0.77
S2C42095	Bacteria	0.33
S2C42290	Phage	0.95
S2C42291	Phage	0.54
S2C42339	Phage	0.94
S2C42590	Phage	0.9
S2C42625	Bacteria	0.48
S2C42648	Phage	0.89
S2C42667	Phage	0.98
S2C42795	Bacteria	0.22
S2C42870	Bacteria	0.41
S2C42939	Phage	0.97
S2C43018	Phage	0.81
S2C43233	Bacteria	0.15
S2C43493	Phage	0.9
S2C43607	Bacteria	0.25
S2C43721	Bacteria	0.4
S2C43771	Bacteria	0.4
S2C43856	Bacteria	0.39
S2C43897	Bacteria	0.42
S2C44242	Phage	0.95
S2C44359	Phage	0.66
S2C44451	Phage	0.92
S2C44704	Bacteria	0.34
S2C44745	Phage	0.98
S2C44761	Bacteria	0.1
S2C44767	Phage	0.94
S2C44863	Phage	0.68
S2C44961	Phage	0.69
S2C45071	Phage	0.96
S2C45313	Phage	0.84
S2C45508	Phage	0.6
S2C45663	Phage	0.53
S2C45700	Bacteria	0.48
S2C45766	Phage	0.91
S2C45869	Bacteria	0.33
S2C45888	Bacteria	0.49
S2C45977	Bacteria	0.24
S2C46090	Phage	0.83
S2C46379	Phage	0.93
S2C46629	Phage	0.98
S2C46646	Phage	0.52
S2C46674	Phage	0.6
S2C46675	Phage	0.93
S2C46746	Phage	0.92
S2C46759	Phage	0.96
S2C47360	Phage	0.91
S2C47377	Phage	0.63
S2C47446	Phage	0.71
S2C47931	Phage	0.65
S2C47950	Phage	0.95
S2C47974	Bacteria	0.29
S2C47986	Phage	0.92
S2C48004	Phage	0.61
S2C48039	Bacteria	0.43
S2C48115	Bacteria	0.34
S2C48499	Phage	0.86
S2C48557	Phage	0.99
S2C48631	Phage	0.93
S2C48700	Phage	0.9
S2C48802	Phage	0.88
S2C48895	Phage	0.93
S2C48968	Phage	0.95
S2C48973	Phage	0.91
S2C48979	Phage	0.53
S2C49030	Phage	0.76
S2C49334	Bacteria	0.43
S2C49396	Phage	0.96
S2C49770	Phage	0.89
S2C49865	Bacteria	0.33
S2C49976	Phage	0.93
S2C50005	Phage	0.9
S2C50254	Phage	0.54
S2C50290	Phage	0.89
S2C50345	Phage	0.9
S2C50427	Phage	0.84
S2C50503	Phage	0.79
S2C50520	Phage	0.63
S2C50545	Phage	0.75
S2C50651	Phage	0.88
S2C51147	Bacteria	0.46
S2C51148	Phage	0.93
S2C51366	Bacteria	0.43
S2C51600	Phage	0.92
S2C51625	Bacteria	0.46
S2C51943	Bacteria	0.25
S2C52262	Bacteria	0.46
S2C52483	Phage	0.87
S2C52486	Bacteria	0.28
S2C52689	Phage	0.84
S2C52876	Phage	0.56
S2C52968	Phage	0.8
S2C52971	Phage	0.94
S2C52981	Bacteria	0.39
S2C53112	Bacteria	0.07
S2C53366	Phage	0.64
S2C53423	Bacteria	0.18
S2C53473	Phage	0.93
S2C53521	Phage	0.88
S2C53614	Phage	0.78
S2C53901	Phage	0.95
S2C54029	Phage	0.66
S5C2	Bacteria	0.24
S5C3	Phage	0.59
S5C10	Phage	0.96
S5C20	Phage	0.53
S5C27	Phage	0.94
S5C89	Bacteria	0.39
S5C90	Phage	0.89
S5C97	Bacteria	0.25
S5C118	Bacteria	0.47
S5C154	Phage	0.56
S5C190	Phage	0.96
S5C192	Phage	0.57
S5C237	Phage	0.64
S5C329	Bacteria	0.34
S5C350	Bacteria	0.4
S5C415	Phage	0.65
S5C437	Phage	0.72
S5C470	Bacteria	0.44
S5C511	Phage	0.53
S5C524	Phage	0.89
S5C558	Phage	0.94
S5C576	Phage	0.76
S5C608	Phage	0.82
S5C614	Bacteria	0.26
S5C617	Phage	0.54
S5C655	Phage	0.73
S5C662	Bacteria	0.43
S5C764	Phage	0.51
S5C790	Bacteria	0.12
S5C832	Phage	0.9
S5C848	Bacteria	0.31
S5C855	Phage	0.86
S5C859	Phage	0.6
S5C873	Bacteria	0.37
S5C909	Phage	0.93
S5C933	Phage	0.55
S5C945	Bacteria	0.48
S5C954	Phage	0.69
S5C975	Bacteria	0.08
S5C983	Bacteria	0.34
S5C1001	Bacteria	0.46
S5C1017	Bacteria	0.48
S5C1034	Bacteria	0.36
S5C1124	Bacteria	0.26
S5C1183	Phage	0.6
S5C1185	Phage	0.56
S5C1215	Bacteria	0.27
S5C1224	Phage	0.5
S5C1253	Bacteria	0.41
S5C1305	Bacteria	0.14
S5C1317	Bacteria	0.27
S5C1360	Phage	0.74
S5C1386	Phage	0.74
S5C1411	Phage	0.73
S5C1434	Phage	0.68
S5C1486	Phage	0.78
S5C1640	Phage	0.96
S5C1661	Bacteria	0.34
S5C1684	Bacteria	0.05
S5C1686	Phage	0.9
S5C1692	Bacteria	0.33
S5C1706	Bacteria	0.41
S5C1742	Phage	0.57
S5C1785	Phage	0.55
S5C1836	Phage	0.54
S5C1845	Phage	0.65
S5C1862	Phage	0.97
S5C1864	Phage	0.57
S5C1866	Bacteria	0.34
S5C1916	Bacteria	0.37
S5C1928	Phage	0.61
S5C1951	Bacteria	0.42
S5C1955	Phage	0.9
S5C1963	Phage	0.81
S5C2000	Phage	0.51
S5C2008	Phage	0.75
S5C2061	Bacteria	0.44
S5C2072	Bacteria	0.38
S5C2127	Phage	0.69
S5C2142	Phage	0.61
S5C2175	Bacteria	0.43
S5C2187	Phage	0.71
S5C2196	Bacteria	0.44
S5C2209	Phage	0.69
S5C2230	Phage	0.51
S5C2242	Phage	0.95
S5C2277	Bacteria	0.4
S5C2308	Phage	0.56
S5C2313	Bacteria	0.28
S5C2333	Phage	0.51
S5C2337	Phage	0.7
S5C2343	Phage	0.93
S5C2376	Phage	0.9
S5C2419	Phage	0.98
S5C2432	Bacteria	0.31
S5C2513	Bacteria	0.18
S5C2630	Phage	0.6
S5C2638	Bacteria	0.47
S5C2653	Phage	0.7
S5C2711	Phage	0.58
S5C2724	Bacteria	0.24
S5C2741	Phage	0.51
S5C2743	Bacteria	0.49
S5C2785	Phage	0.7
S5C2822	Bacteria	0.4
S5C2851	Phage	0.72
S5C2862	Bacteria	0.27
S5C2864	Phage	0.62
S5C2929	Phage	0.91
S5C3014	Phage	0.67
S5C3057	Bacteria	0.19
S5C3064	Phage	0.79
S5C3065	Phage	0.98
S5C3147	Bacteria	0.49
S5C3170	Bacteria	0.05
S5C3186	Phage	0.64
S5C3275	Phage	0.57
S5C3288	Phage	0.95
S5C3291	Bacteria	0.16
S5C3307	Phage	0.94
S5C3315	Phage	0.69
S5C3340	Phage	0.73
S5C3350	Phage	0.9
S5C3353	Phage	0.75
S5C3420	Phage	0.95
S5C3430	Bacteria	0.45
S5C3436	Phage	0.62
S5C3479	Phage	0.59
S5C3481	Phage	0.61
S5C3485	Bacteria	0.24
S5C3487	Bacteria	0.42
S5C3549	Bacteria	0.16
S5C3554	Phage	0.65
S5C3564	Bacteria	0.23
S5C3594	Phage	0.7
S5C3607	Bacteria	0.17
S5C3621	Bacteria	0.4
S5C3634	Phage	0.73
S5C3644	Phage	0.68
S5C3664	Bacteria	0.18
S5C3665	Bacteria	0.17
S5C3695	Phage	0.63
S5C3728	Bacteria	0.5
S5C3758	Bacteria	0.05
S5C3759	Bacteria	0.38
S5C3811	Bacteria	0.25
S5C3848	Bacteria	0.49
S5C3873	Bacteria	0.28
S5C3952	Bacteria	0.5
S5C3970	Bacteria	0.22
S5C3984	Phage	0.7
S5C3994	Phage	0.58
S5C4006	Bacteria	0.38
S5C4008	Phage	0.94
S5C4014	Bacteria	0.28
S5C4034	Bacteria	0.45
S5C4090	Phage	0.63
S5C4098	Bacteria	0.15
S5C4105	Bacteria	0.38
S5C4114	Bacteria	0.02
S5C4179	Phage	0.76
S5C4200	Phage	0.95
S5C4243	Phage	0.96
S5C4272	Bacteria	0.29
S5C4281	Bacteria	0.23
S5C4332	Phage	0.51
S5C4361	Phage	0.67
S5C4378	Phage	0.94
S5C4393	Bacteria	0.45
S5C4414	Phage	0.89
S5C4430	Phage	0.79
S5C4431	Phage	0.54
S5C4446	Phage	0.7
S5C4487	Phage	0.68
S5C4540	Phage	0.76
S5C4557	Bacteria	0.47
S5C4569	Phage	0.59
S5C4592	Bacteria	0.36
S5C4609	Phage	0.65
S5C4616	Phage	0.96
S5C4676	Bacteria	0.25
S5C4726	Bacteria	0.47
S5C4728	Bacteria	0.4
S5C4738	Phage	0.64
S5C4762	Phage	0.92
S5C4767	Bacteria	0.41
S5C4775	Phage	0.87
S5C4794	Phage	0.93
S5C4811	Phage	0.57
S5C4817	Phage	0.54
S5C4877	Bacteria	0.43
S5C4927	Phage	0.97
S5C4971	Bacteria	0.47
S5C5030	Bacteria	0.34
S5C5057	Bacteria	0.44
S5C5087	Phage	0.67
S5C5091	Phage	0.54
S5C5092	Bacteria	0.49
S5C5103	Phage	0.64
S5C5104	Bacteria	0.43
S5C5113	Phage	0.96
S5C5122	Bacteria	0.47
S5C5274	Bacteria	0.48
S5C5337	Phage	0.61
S5C5374	Phage	0.66
S5C5458	Phage	0.93
S5C5462	Bacteria	0.41
S5C5473	Bacteria	0.35
S5C5481	Phage	0.56
S5C5524	Phage	0.6
S5C5533	Bacteria	0.2
S5C5536	Phage	0.88
S5C5586	Bacteria	0.33
S5C5620	Bacteria	0.42
S5C5638	Phage	0.88
S5C5642	Phage	0.97
S5C5648	Phage	0.97
S5C5655	Phage	0.59
S5C5675	Bacteria	0.41
S5C5683	Bacteria	0.48
S5C5700	Phage	0.95
S5C5703	Bacteria	0.44
S5C5712	Bacteria	0.16
S5C5760	Phage	0.87
S5C5768	Phage	0.92
S5C5775	Bacteria	0.33
S5C5776	Phage	0.66
S5C5783	Bacteria	0.46
S5C5794	Bacteria	0.32
S5C5812	Phage	0.54
S5C5829	Phage	0.58
S5C5835	Bacteria	0.17
S5C5877	Bacteria	0.43
S5C5935	Phage	0.71
S5C5951	Phage	0.83
S5C5994	Bacteria	0.15
S5C6012	Bacteria	0.27
S5C6020	Phage	0.65
S5C6042	Phage	0.53
S5C6105	Phage	0.8
S5C6121	Bacteria	0.16
S5C6140	Bacteria	0.46
S5C6161	Bacteria	0.31
S5C6177	Phage	0.5
S5C6200	Bacteria	0.45
S5C6208	Bacteria	0.36
S5C6377	Phage	0.52
S5C6380	Phage	0.98
S5C6417	Phage	0.85
S5C6445	Phage	0.89
S5C6454	Bacteria	0.36
S5C6464	Phage	0.64
S5C6465	Phage	0.84
S5C6496	Phage	0.52
S5C6512	Phage	0.67
S5C6537	Phage	0.6
S5C6569	Phage	0.66
S5C6598	Bacteria	0.08
S5C6602	Bacteria	0.45
S5C6612	Bacteria	0.35
S5C6615	Bacteria	0.42
S5C6675	Phage	0.7
S5C6686	Phage	0.71
S5C6712	Phage	0.97
S5C6750	Bacteria	0.46
S5C6783	Phage	0.74
S5C6851	Bacteria	0.12
S5C6877	Phage	0.53
S5C6895	Phage	0.96
S5C6902	Phage	0.64
S5C6903	Phage	0.69
S5C6918	Phage	0.65
S5C6919	Phage	0.56
S5C6959	Bacteria	0.47
S5C6973	Bacteria	0.31
S5C6981	Phage	0.6
S5C7038	Bacteria	0.47
S5C7039	Phage	0.97
S5C7046	Phage	0.99
S5C7052	Phage	0.84
S5C7073	Phage	0.63
S5C7113	Phage	0.61
S5C7132	Bacteria	0.4
S5C7135	Bacteria	0.45
S5C7154	Phage	0.9
S5C7237	Phage	0.85
S5C7239	Phage	0.86
S5C7362	Phage	0.98
S5C7367	Phage	0.61
S5C7368	Phage	0.63
S5C7376	Phage	0.63
S5C7381	Bacteria	0.43
S5C7384	Bacteria	0.34
S5C7427	Phage	0.95
S5C7433	Bacteria	0.29
S5C7540	Phage	0.56
S5C7542	Phage	0.7
S5C7543	Phage	0.5
S5C7556	Phage	0.51
S5C7599	Phage	0.64
S5C7663	Phage	0.81
S5C7666	Bacteria	0.37
S5C7683	Bacteria	0.42
S5C7711	Phage	0.56
S5C7720	Phage	0.79
S5C7748	Bacteria	0.34
S5C7754	Bacteria	0.41
S5C7801	Phage	0.53
S5C7806	Bacteria	0.12
S5C7811	Phage	0.96
S5C7842	Phage	0.98
S5C7872	Bacteria	0.08
S5C7896	Phage	0.64
S5C7899	Bacteria	0.24
S5C7900	Phage	0.52
S5C7920	Bacteria	0.37
S5C7929	Phage	0.57
S5C7932	Bacteria	0.37
S5C7989	Bacteria	0.41
S5C7995	Bacteria	0.45
S5C8004	Phage	0.93
S5C8006	Bacteria	0.44
S5C8025	Phage	0.55
S5C8036	Bacteria	0.49
S5C8060	Phage	0.64
S5C8061	Bacteria	0.46
S5C8095	Phage	0.6
S5C8100	Bacteria	0.3
S5C8113	Bacteria	0.33
S5C8122	Bacteria	0.47
S5C8199	Phage	0.79
S5C8207	Bacteria	0.37
S5C8274	Phage	0.9
S5C8303	Phage	0.65
S5C8319	Phage	0.55
S5C8350	Phage	0.92
S5C8372	Bacteria	0.33
S5C8449	Phage	0.59
S5C8463	Phage	0.71
S5C8467	Phage	0.92
S5C8472	Phage	0.9
S5C8476	Bacteria	0.41
S5C8520	Bacteria	0.41
S5C8530	Bacteria	0.41
S5C8537	Phage	0.72
S5C8558	Bacteria	0.17
S5C8597	Bacteria	0.44
S5C8600	Bacteria	0.29
S5C8608	Bacteria	0.33
S5C8610	Bacteria	0.48
S5C8622	Bacteria	0.43
S5C8659	Bacteria	0.04
S5C8697	Bacteria	0.24
S5C8699	Phage	0.95
S5C8747	Phage	0.59
S5C8751	Phage	0.67
S5C8763	Bacteria	0.41
S5C8848	Bacteria	0.18
S5C8901	Phage	0.52
S5C8904	Phage	0.96
S5C8934	Phage	0.63
S5C8967	Phage	0.92
S5C8968	Bacteria	0.41
S5C9005	Phage	0.96
S5C9006	Bacteria	0.44
S5C9029	Bacteria	0.08
S5C9030	Phage	0.7
S5C9055	Phage	0.55
S5C9103	Phage	0.67
S5C9111	Bacteria	0.48
S5C9132	Phage	0.95
S5C9156	Bacteria	0.5
S5C9185	Bacteria	0.41
S5C9191	Bacteria	0.44
S5C9225	Bacteria	0.44
S5C9274	Phage	0.7
S5C9337	Phage	0.84
S5C9354	Phage	0.7
S5C9361	Phage	0.56
S5C9403	Phage	0.7
S5C9410	Phage	0.55
S5C9429	Bacteria	0.37
S5C9450	Phage	0.5
S5C9491	Bacteria	0.36
S5C9493	Phage	0.52
S5C9570	Bacteria	0.24
S5C9670	Bacteria	0.26
S5C9677	Phage	0.51
S5C9692	Bacteria	0.38
S5C9703	Bacteria	0.42
S5C9728	Bacteria	0.38
S5C9738	Bacteria	0.39
S5C9744	Bacteria	0.28
S5C9745	Bacteria	0.25
S5C9759	Bacteria	0.25
S5C9896	Bacteria	0.39
S5C9917	Phage	0.54
S5C9952	Phage	0.52
S5C9972	Phage	0.57
S5C10005	Bacteria	0.04
S5C10008	Phage	0.71
S5C10037	Phage	0.64
S5C10055	Phage	0.62
S5C10073	Phage	0.6
S5C10129	Bacteria	0.29
S5C10134	Phage	0.71
S5C10145	Phage	0.67
S5C10161	Bacteria	0.38
S5C10175	Phage	0.9
S5C10207	Bacteria	0.38
S5C10256	Phage	0.73
S5C10276	Phage	0.94
S5C10321	Bacteria	0.46
S5C10351	Bacteria	0.41
S5C10371	Phage	0.74
S5C10456	Bacteria	0.41
S5C10513	Phage	0.85
S5C10558	Bacteria	0.31
S5C10563	Bacteria	0.13
S5C10585	Phage	0.56
S5C10663	Bacteria	0.41
S5C10724	Phage	0.99
S5C10746	Phage	0.55
S5C10757	Phage	0.52
S5C10775	Bacteria	0.34
S5C10788	Bacteria	0.47
S5C10885	Bacteria	0.44
S5C10899	Bacteria	0.41
S5C10912	Phage	0.84
S5C10957	Bacteria	0.4
S5C10962	Bacteria	0.24
S5C11029	Phage	0.69
S5C11056	Bacteria	0.19
S5C11063	Phage	0.5
S5C11069	Bacteria	0.42
S5C11098	Phage	0.89
S5C11172	Phage	0.63
S5C11189	Bacteria	0.23
S5C11196	Phage	0.6
S5C11225	Bacteria	0.38
S5C11252	Bacteria	0.4
S5C11301	Bacteria	0.3
S5C11342	Phage	0.97
S5C11348	Bacteria	0.36
S5C11381	Bacteria	0.46
S5C11453	Bacteria	0.49
S5C11499	Bacteria	0.48
S5C11500	Bacteria	0.28
S5C11518	Bacteria	0.49
S5C11613	Phage	0.59
S5C11641	Bacteria	0.46
S5C11658	Bacteria	0.46
S5C11699	Bacteria	0.25
S5C11713	Phage	0.52
S5C11723	Phage	0.7
S5C11730	Bacteria	0.24
S5C11749	Phage	0.59
S5C11754	Phage	0.63
S5C11793	Bacteria	0.49
S5C11795	Phage	0.57
S5C11883	Bacteria	0.12
S5C11885	Bacteria	0.4
S5C11913	Phage	0.67
S5C11927	Bacteria	0.47
S5C11997	Bacteria	0.25
S5C12003	Bacteria	0.34
S5C12014	Phage	0.93
S5C12019	Bacteria	0.35
S5C12051	Bacteria	0.47
S5C12092	Bacteria	0.42
S5C12096	Bacteria	0.49
S5C12143	Bacteria	0.16
S5C12174	Bacteria	0.35
S5C12195	Phage	0.67
S5C12198	Bacteria	0.28
S5C12201	Phage	0.94
S5C12241	Phage	0.84
S5C12257	Bacteria	0.41
S5C12266	Phage	0.56
S5C12315	Bacteria	0.28
S5C12338	Phage	0.56
S5C12349	Bacteria	0.49
S5C12417	Phage	0.5
S5C12443	Phage	0.65
S5C12477	Phage	0.98
S5C12483	Phage	0.58
S5C12521	Bacteria	0.31
S5C12532	Phage	0.72
S5C12554	Phage	0.97
S5C12612	Phage	0.5
S5C12629	Phage	0.96
S5C12633	Phage	0.65
S5C12653	Bacteria	0.1
S5C12682	Phage	0.52
S5C12737	Phage	0.53
S5C12756	Phage	0.66
S5C12770	Phage	0.51
S5C12772	Bacteria	0.36
S5C12779	Phage	0.96
S5C12839	Phage	0.59
S5C12870	Phage	0.94
S5C12878	Bacteria	0.25
S5C12907	Bacteria	0.07
S5C12933	Bacteria	0.29
S5C12935	Phage	0.55
S5C12958	Phage	0.82
S5C12972	Phage	0.94
S5C13013	Bacteria	0.06
S5C13017	Phage	0.95
S5C13050	Phage	0.93
S5C13065	Bacteria	0.49
S5C13078	Phage	0.86
S5C13082	Phage	0.52
S5C13153	Bacteria	0.29
S5C13166	Bacteria	0.13
S5C13188	Bacteria	0.4
S5C13191	Phage	0.5
S5C13216	Bacteria	0.32
S5C13240	Bacteria	0.49
S5C13251	Phage	0.56
S5C13282	Bacteria	0.17
S5C13316	Phage	0.63
S5C13365	Bacteria	0.09
S5C13393	Bacteria	0.25
